designation,source_id,ra,dec,l,b,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,astrometric_params_solved,type_best_classification,mode_best_classification
Gaia DR3 4658733708665933184,4658733708665933184,80.36686917256925,-68.09277030367619,278.5517470316353,-33.37323423445134,0.0036562431348942993,0.05207045,0.07021724,17.02453,1.5832558,,-85.9883386203256,31,DCEP,FIRST_OVERTONE
Gaia DR3 2936110669428633216,2936110669428633216,106.65834972837997,-15.802057105338477,228.71793022907747,-3.8666221157466287,0.14866799550219378,0.01753543,8.47815,12.492877,1.3724877,,-38.062804109607136,31,DCEP,FUNDAMENTAL
Gaia DR3 2936165984303583360,2936165984303583360,105.8769603904638,-15.543342544077378,228.14403235319216,-4.419167382285114,0.1005427370538369,0.01461134,6.881144,13.495098,1.4184428,,-37.91305441559932,31,DCEP,FUNDAMENTAL
Gaia DR3 4649470739818783104,4649470739818783104,79.60944942418249,-74.44692517763478,285.99809336906026,-32.24128937198556,-0.05339924750262125,0.033653274,-1.5867475,16.138836,1.5658814,,-81.41423310246395,31,DCEP,FIRST_OVERTONE
Gaia DR3 4652006935214703360,4652006935214703360,78.27566734611334,-70.57807336242051,281.649388597306,-33.583704176739886,-0.05076632274393935,0.04687514,-1.0830116,17.069706,1.5716871,,-84.14502582560053,31,DCEP,FIRST_OVERTONE
Gaia DR3 4652032872515042176,4652032872515042176,76.28616900748035,-70.82896491455455,282.1436784764712,-34.15526813883457,-0.01016146214311872,0.069432706,-0.14634979,17.318298,1.6034393,,-83.46506938220625,31,DCEP,FIRST_OVERTONE
Gaia DR3 4652068164272121984,4652068164272121984,76.52945392279872,-70.4357766000865,281.6597538028751,-34.183441468938994,-0.14459605970425277,0.0402207,-3.5950658,15.915994,1.519059,,-83.74635904513931,31,DCEP,FUNDAMENTAL
Gaia DR3 4652128122030148352,4652128122030148352,79.2790258096896,-70.10684756244956,281.0076266152309,-33.36146942296746,-0.01596780503314544,0.020420514,-0.7819492,15.141618,1.5327804,,-84.69879662187951,31,DCEP,FUNDAMENTAL
Gaia DR3 5593641268879096448,5593641268879096448,118.86944150404429,-34.42425390571111,250.36200426748687,-3.170025858054288,0.04403359518002027,0.07980954,0.5517335,17.639538,,1.182095,-53.70751803949907,95,DCEP,FIRST_OVERTONE
Gaia DR3 447928225273443968,447928225273443968,47.297939475095575,56.034696602070454,141.3598818647635,-1.8279855674996865,0.10063843206569727,0.024356259,4.131933,14.6080475,1.2783967,,36.69962044684164,31,DCEP,FUNDAMENTAL
Gaia DR3 2198341184695523712,2198341184695523712,332.74300986306787,56.29157322836733,101.97967566853269,0.09205040187315379,0.1679232538695183,0.014476836,11.599444,13.059533,1.2832716,,59.80618556745834,31,DCEP,FUNDAMENTAL
Gaia DR3 2198343211919878528,2198343211919878528,332.44178346815914,56.27361105779277,101.83256833478804,0.17354458946757575,0.07027169482136555,0.049962476,1.4064895,16.835001,1.2604346,,59.91100619279893,31,DCEP,FIRST_OVERTONE
Gaia DR3 4657227309136578560,4657227309136578560,84.73344987093056,-70.1424950367182,280.6766375863721,-31.528538093890166,0.08915284735846163,0.06488519,1.3740093,17.080887,,1.4242482,-85.92851934752603,95,DCEP,FUNDAMENTAL
Gaia DR3 4658046621347287424,4658046621347287424,82.28733383172107,-69.40366430672952,279.954206169782,-32.46952103317349,0.01592468002136869,0.05724769,0.27817157,16.034803,1.598023,,-85.95046694738969,31,DCEP,FUNDAMENTAL
